,Control,Nombre,Apellido,Apellidos ,Caificacion
2,2117V0002,Said,Matias,Pedro  Martinez ,100
3,2117V0003,Uriel,Vite,Miguel  Camacho,37
4,2117V0004,Emilio,Sanchez,Juan  Martinez ,93
5,2117V0005,Flor,Ontiveros,Arturo  Vite,34
6,2117V0006,Laura,Medellin,Arturo  Medellin,10
7,2117V0007,Pedro,Martinez ,Emilio  Martinez ,62
8,2117V0008,Juan,Camacho,Said  Ontiveros,27
9,2117V0009,Miguel,Herrera,Miguel  Medellin,26
10,2117V0010,Arturo,Vte,Laura  Medellin,100
11,2117V0011,Ilse,De la cruz,Flor  Sanchez,97
12,2117V0012,Ilse,De la cruz,Miguel  Martinez ,28
13,2117V0013,Ilse,De la cruz,Ilse  Medellin,95
14,2117V0014,Ilse,De la cruz,Laura  De la cruz,27
15,2117V0015,Ilse,De la cruz,Emilio  Vite,63
16,2117V0016,Ilse,De la cruz,Ilse  Martinez ,23
17,2117V0017,Ilse,De la cruz,Juan  Sanchez,1
18,2117V0018,Ilse,De la cruz,Laura  Vte,21
19,2117V0019,Ilse,De la cruz,Ilse  Martinez ,19
20,2117V0020,Ilse,De la cruz,Juan  Martinez ,32
21,2117V0021,Ilse,De la cruz,Abelardo  De la cruz,11
22,2117V0022,Ilse,De la cruz,Juan  De la cruz,13
23,2117V0023,Ilse,De la cruz,Flor  Medellin,33
24,2117V0024,Ilse,De la cruz,Uriel  Ontiveros,99
25,2117V0025,Ilse,De la cruz,Juan  Martinez ,80
26,2117V0026,Ilse,De la cruz,Pedro  Ontiveros,84
27,2117V0027,Ilse,De la cruz,Pedro  Medellin,25
28,2117V0028,Ilse,De la cruz,Laura  Martinez ,91
29,2117V0029,Ilse,De la cruz,Emilio  Vite,31
30,2117V0030,Ilse,De la cruz,Arturo  Ontiveros,74
31,2117V0031,Ilse,De la cruz,Said  Vte,61
32,2117V0032,Ilse,De la cruz,Arturo  Medellin,73
33,2117V0033,Ilse,De la cruz,Laura  Matias,100
34,2117V0034,Ilse,De la cruz,Said  Camacho,76
35,2117V0035,Ilse,De la cruz,Ilse  De la cruz,44
36,2117V0036,Ilse,De la cruz,Pedro  Ontiveros,65
37,2117V0037,Ilse,De la cruz,Juan  Herrera,75
38,2117V0038,Ilse,De la cruz,Abelardo  Matias,5
39,2117V0039,Ilse,De la cruz,Miguel  Martinez ,74
40,2117V0040,Ilse,De la cruz,Pedro  Matias,42
41,2117V0041,Ilse,De la cruz,Said  Ontiveros,24
42,2117V0042,Ilse,De la cruz,Flor  Matias,33
43,2117V0043,Ilse,De la cruz,Flor  Martinez ,16
44,2117V0044,Ilse,De la cruz,Arturo  Camacho,15
45,2117V0045,Ilse,De la cruz,Miguel  Vite,0
46,2117V0046,Ilse,De la cruz,Miguel  Herrera,19
47,2117V0047,Ilse,De la cruz,Pedro  Martinez ,95
48,2117V0048,Ilse,De la cruz,Pedro  Camacho,21
49,2117V0049,Ilse,De la cruz,Abelardo  Martinez ,36
50,2117V0050,Ilse,De la cruz,Arturo  De la cruz,85
51,2117V0051,Ilse,De la cruz,Uriel  Sanchez,62
52,2117V0052,Ilse,De la cruz,Uriel  Vte,28
53,2117V0053,Ilse,De la cruz,Abelardo  Vte,78
54,2117V0054,Ilse,De la cruz,Laura  Martinez ,63
55,2117V0055,Ilse,De la cruz,Pedro  Vite,52
56,2117V0056,Ilse,De la cruz,Abelardo  Herrera,13
57,2117V0057,Ilse,De la cruz,Miguel  Vte,57
